record_id,sample_index,subject_id,anatomical_position,ppi,seed,frozen_mated_pair,frozen_non_mated_pair,mated_registration_status,non_mated_registration_status,mated_score_status,non_mated_score_status,mated_repeatability,non_mated_repeatability,delta,mated_matches,mated_plain_in_overlap,mated_roll_in_overlap,non_mated_matches,non_mated_plain_in_overlap,non_mated_roll_in_overlap,plain_detections,plain_detections_per_megapixel,plain_detections_per_estimated_ridge_megapixel,mated_roll_detections,mated_roll_detections_per_megapixel,mated_roll_detections_per_estimated_ridge_megapixel,non_mated_roll_detections,non_mated_roll_detections_per_megapixel,non_mated_roll_detections_per_estimated_ridge_megapixel
S01-1000,1,00001809,1,1000,40401,PREPROCESSING_FAILURE,PREPROCESSING_FAILURE,INVALID,INVALID,REGISTRATION_INVALID,REGISTRATION_INVALID,,,,,,,,,,0,,,0,,,0,,
S02-1000,2,00001718,1,1000,40401,PREPROCESSING_FAILURE,PREPROCESSING_FAILURE,INVALID,INVALID,REGISTRATION_INVALID,REGISTRATION_INVALID,,,,,,,,,,0,,,0,,,0,,
S03-1000,3,00001335,2,1000,40401,PREPROCESSING_FAILURE,PREPROCESSING_FAILURE,INVALID,INVALID,REGISTRATION_INVALID,REGISTRATION_INVALID,,,,,,,,,,0,,,0,,,0,,
S04-1000,4,00001593,2,1000,40401,PREPROCESSING_FAILURE,PREPROCESSING_FAILURE,INVALID,INVALID,REGISTRATION_INVALID,REGISTRATION_INVALID,,,,,,,,,,0,,,0,,,0,,
S05-1000,5,00001314,3,1000,40401,PREPROCESSING_FAILURE,PREPROCESSING_FAILURE,INVALID,INVALID,REGISTRATION_INVALID,REGISTRATION_INVALID,,,,,,,,,,933,854.6703198555579,1247.6848291955575,0,,,0,,
S06-1000,6,00001267,3,1000,40401,PREPROCESSING_FAILURE,PREPROCESSING_FAILURE,INVALID,INVALID,REGISTRATION_INVALID,REGISTRATION_INVALID,,,,,,,,,,0,,,0,,,0,,
S07-1000,7,00001061,4,1000,40401,PREPROCESSING_FAILURE,PREPROCESSING_FAILURE,INVALID,INVALID,REGISTRATION_INVALID,REGISTRATION_INVALID,,,,,,,,,,1028,942.1166465046374,1526.6041966765172,0,,,0,,
S08-1000,8,00001050,4,1000,40401,PREPROCESSING_FAILURE,PREPROCESSING_FAILURE,INVALID,INVALID,REGISTRATION_INVALID,REGISTRATION_INVALID,,,,,,,,,,0,,,592,634.5939456307349,974.136030198217,0,,
S09-1000,9,00001187,5,1000,40401,PREPROCESSING_FAILURE,PREPROCESSING_FAILURE,INVALID,INVALID,REGISTRATION_INVALID,REGISTRATION_INVALID,,,,,,,,,,0,,,0,,,0,,
S10-1000,10,00001668,5,1000,40401,PREPROCESSING_FAILURE,PREPROCESSING_FAILURE,INVALID,INVALID,REGISTRATION_INVALID,REGISTRATION_INVALID,,,,,,,,,,0,,,0,,,0,,
